t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,-0.000000001,1.999999992,95.962672138,9.796053906,-0.011204754
0.010000000,-0.000000010,1.999999869,95.735901047,9.784472446,-0.016705844
0.015000000,-0.000000044,1.999999343,95.367601478,9.765633696,-0.016918187
0.020000000,-0.000000124,1.999997943,94.865773926,9.739906259,-0.012206228
0.025000000,-0.000000268,1.999995027,94.238456923,9.707649403,-0.002891234
0.030000000,-0.000000484,1.999989790,93.493684969,9.669213255,0.010742545
0.035000000,-0.000000767,1.999981271,92.639451516,9.624939040,0.028442671
0.040000000,-0.000001094,1.999968364,91.683676489,9.575159345,0.049984086
0.045000000,-0.000001417,1.999949825,90.634177860,9.520198415,0.075165312
0.050000000,-0.000001663,1.999924281,89.498646861,9.460372448,0.103805197
0.055000000,-0.000001725,1.999890237,88.284626438,9.395989913,0.135740076
0.060000000,-0.000001464,1.999846083,86.999492603,9.327351854,0.170821316
0.065000000,-0.000000704,1.999790104,85.650438379,9.254752205,0.208913148
0.070000000,0.000000770,1.999720486,84.244460054,9.178478090,0.249890753
0.075000000,0.000003216,1.999635320,82.788345506,9.098810115,0.293638556
0.080000000,0.000006935,1.999532614,81.288664376,9.016022647,0.340048687
0.085000000,0.000012271,1.999410297,79.751759906,8.930384085,0.389019594
0.090000000,0.000019617,1.999266225,78.183742274,8.842157105,0.440454761
0.095000000,0.000029410,1.999098189,76.590483272,8.751598898,0.494261534
0.100000000,0.000042137,1.998903918,74.977612221,8.658961382,0.550350025
0.105000000,0.000058331,1.998681090,73.350513000,8.564491403,0.608632079
0.110000000,0.000078576,1.998427332,71.714322097,8.468430911,0.669020314
0.115000000,0.000103501,1.998140230,70.073927619,8.371017120,0.731427188
0.120000000,0.000133785,1.997817333,68.433969183,8.272482649,0.795764133
0.125000000,0.000170154,1.997456156,66.798838628,8.173055648,0.861940719
0.130000000,0.000213381,1.997054188,65.172681527,8.072959899,0.929863855
0.135000000,0.000264286,1.996608897,63.559399429,7.972414906,0.999437046
0.140000000,0.000323733,1.996117733,61.962652820,7.871635968,1.070559676
0.145000000,0.000392631,1.995578131,60.385864781,7.770834240,1.143126358
0.150000000,0.000471933,1.994987522,58.832225303,7.670216770,1.217026326
0.155000000,0.000562634,1.994343329,57.304696251,7.569986542,1.292142902
0.160000000,0.000665769,1.993642977,55.806016976,7.470342494,1.368353028
0.165000000,0.000782415,1.992883896,54.338710531,7.371479535,1.445526895
0.170000000,0.000913683,1.992063522,52.905090507,7.273588558,1.523527659
0.175000000,0.001060726,1.991179303,51.507268469,7.176856448,1.602211280
0.180000000,0.001224730,1.990228704,50.147161970,7.081466089,1.681426475
0.185000000,0.001406915,1.989209208,48.826503147,6.987596378,1.761014203
0.190000000,0.001608535,1.988118320,47.546847522,6.895422215,1.840799469
0.195000000,0.001830876,1.986953570,46.309582243,6.805114418,1.920581312
0.200000000,0.002075253,1.985712518,45.115934096,6.716839591,2.000131101
0.205000000,0.002343011,1.984392755,43.966977626,6.630759958,2.079192154
0.210000000,0.002635523,1.982991905,42.863643323,6.547033170,2.157479741
0.215000000,0.002954191,1.981507631,41.806725859,6.465812080,2.234681536
0.220000000,0.003300439,1.979937636,40.796892319,6.387244501,2.310458587
0.225000000,0.003675719,1.978279665,39.834690405,6.311472919,2.384446876
0.230000000,0.004081506,1.976531508,38.920556577,6.238634192,2.456259524
0.235000000,0.004519296,1.974691003,38.054824106,6.168859222,2.525489687
