t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000013,1.999999992,95.968503745,9.796351553,0.246154763
0.010000000,0.000000203,1.999999879,95.760756439,9.785742508,0.472839997
0.015000000,0.000001009,1.999999395,95.427205556,9.768684945,0.681931920
0.020000000,0.000003135,1.999998111,94.978551590,9.745694002,0.875063858
0.025000000,0.000007526,1.999995448,94.425540557,9.717280512,1.053660436
0.030000000,0.000015346,1.999990682,93.778794379,9.683945187,1.218967616
0.035000000,0.000027960,1.999982957,93.048674652,9.646174094,1.372078915
0.040000000,0.000046909,1.999971294,92.245175665,9.604435208,1.513958171
0.045000000,0.000073897,1.999954599,91.377842934,9.559175850,1.645459220
0.050000000,0.000110773,1.999931670,90.455713825,9.510820881,1.767342835
0.055000000,0.000159512,1.999901209,89.487277161,9.459771517,1.880291241
0.060000000,0.000222205,1.999861824,88.480449033,9.406404682,1.984920474
0.065000000,0.000301040,1.999812038,87.442562275,9.351072787,2.081790840
0.070000000,0.000398292,1.999750297,86.380367348,9.294103902,2.171415670
0.075000000,0.000516311,1.999674973,85.300042614,9.235802218,2.254268575
0.080000000,0.000657508,1.999584373,84.207212193,9.176448779,2.330789341
0.085000000,0.000824351,1.999476743,83.106969810,9.116302420,2.401388623
0.090000000,0.001019348,1.999350270,82.003907226,9.055600876,2.466451555
0.095000000,0.001245043,1.999203093,80.902146027,8.994562025,2.526340395
0.100000000,0.001504008,1.999033302,79.805371682,8.933385231,2.581396307
0.105000000,0.001798834,1.998838944,78.716868961,8.872252756,2.631940375
0.110000000,0.002132126,1.998618029,77.639557898,8.811331222,2.678273943
0.115000000,0.002506496,1.998368531,76.576029631,8.750773088,2.720678359
0.120000000,0.002924559,1.998088392,75.528581539,8.690718126,2.759414209
0.125000000,0.003388928,1.997775527,74.499251212,8.631294875,2.794720121
0.130000000,0.003902209,1.997427826,73.489848846,8.572622052,2.826811200
0.135000000,0.004466998,1.997043156,72.501987763,8.514809908,2.855877177
0.140000000,0.005085877,1.996619369,71.537112801,8.457961504,2.882080343
0.145000000,0.005761415,1.996154296,70.596526386,8.402173908,2.905553319
0.150000000,0.006496159,1.995645760,69.681412143,8.347539287,2.926396745
0.155000000,0.007292638,1.995091572,68.792855965,8.294145885,2.944676950
0.160000000,0.008153357,1.994489533,67.931864471,8.242078893,2.960423651
0.165000000,0.009080797,1.993837444,67.099380815,8.191421172,2.973628352
0.170000000,0.010077417,1.993133102,66.296296757,8.142253789,2.984254617
0.175000000,0.011145647,1.992374303,65.523458421,8.094656164,2.992256377
0.180000000,0.012287890,1.991558849,64.781668870,8.048706037,2.997581461
0.185000000,0.013506524,1.990684549,64.071690291,8.004479389,3.000172331
0.190000000,0.014803894,1.989749220,63.394245990,7.962050363,2.999966911
0.195000000,0.016182321,1.988750691,62.750022226,7.921491162,2.996899503
0.200000000,0.017644093,1.987686807,62.139669874,7.882871931,2.990901792
0.205000000,0.019191473,1.986555431,61.563805951,7.846260635,2.981903932
0.210000000,0.020826690,1.985354447,61.023015005,7.811722922,2.969835706
0.215000000,0.022551947,1.984081761,60.517850393,7.779321975,2.954627746
0.220000000,0.024369416,1.982735309,60.048835455,7.749118366,2.936212810
0.225000000,0.026281243,1.981313054,59.616464600,7.721169898,2.914527081
0.230000000,0.028289542,1.979812993,59.221204316,7.695531451,2.889511493
0.235000000,0.030396401,1.978233159,58.863494112,7.672254826,2.861113042
0.240000000,0.032603881,1.976571622,58.543747410,7.651388594,2.829286077
0.245000000,0.034914013,1.974826494,58.262352377,7.632977949,2.793993544
0.250000000,0.037328806,1.972995931,58.019672724,7.617064574,2.755208152
0.255000000,0.039850240,1.971078136,57.816048450,7.603686504,2.712913451
0.260000000,0.042480270,1.969071363,57.651796551,7.592878015,2.667104789
0.265000000,0.045220829,1.966973917,57.527211683,7.584669517,2.617790140
0.270000000,0.048073824,1.964784159,57.442566762,7.579087462,2.564990766
0.275000000,0.051041140,1.962500509,57.398113522,7.576154270,2.508741717
0.280000000,0.054124640,1.960121445,57.394082984,7.575888264,2.449092141
0.285000000,0.057326164,1.957645512,57.430685848,7.578303626,2.386105411
0.290000000,0.060647534,1.955071319,57.508112786,7.583410366,2.319859040
0.295000000,0.064090549,1.952397544,57.626534609,7.591214304,2.250444410
0.300000000,0.067656990,1.949622935,57.786102292,7.601717062,2.177966295
0.305000000,0.071348618,1.946746315,57.986946839,7.614916076,2.102542202
0.310000000,0.075167177,1.943766583,58.229178959,7.630804608,2.024301529
0.315000000,0.079114392,1.940682713,58.512888514,7.649371772,1.943384554
0.320000000,0.083191970,1.937493763,58.838143738,7.670602567,1.859941284
0.325000000,0.087401602,1.934198872,59.204990174,7.694477901,1.774130219
0.330000000,0.091744959,1.930797264,59.613449860,7.720974670,1.686119274
0.335000000,0.096223699,1.927288248,60.063523340,7.750066022,1.596089637
0.340000000,0.100839459,1.923671224,60.555194200,7.781721802,1.504235040
0.345000000,0.105593862,1.919945680,61.088433913,7.815909027,1.410759510
0.350000000,0.110488512,1.916111198,61.663206671,7.852592354,1.315875164
0.355000000,0.115524995,1.912167452,62.279474167,7.891734547,1.219800087
0.360000000,0.120704882,1.908114213,62.937200298,7.933296937,1.122756330
0.365000000,0.126029721,1.903951349,63.636355747,7.977239858,1.024968040
0.370000000,0.131501045,1.899678823,64.376922416,8.023523068,0.926659747
0.375000000,0.137120366,1.895296702,65.158897666,8.072106148,0.828054822
0.380000000,0.142889176,1.890805150,65.982298344,8.122948870,0.729374090
0.385000000,0.148808947,1.886204435,66.847164554,8.176011531,0.630834640
0.390000000,0.154881128,1.881494926,67.753563140,8.231255259,0.532648783
0.395000000,0.161107148,1.876677098,68.701590858,8.288642281,0.435023190
0.400000000,0.167488412,1.871751527,69.691377198,8.348136151,0.338158175
0.405000000,0.174026301,1.866718897,70.723086818,8.409701946,0.242247130
0.410000000,0.180722171,1.861579995,71.796921581,8.473306414,0.147476077
0.415000000,0.187577352,1.856335716,72.913122144,8.538918090,0.054023354
0.420000000,0.194593150,1.850987061,74.071969076,8.606507368,-0.037940615
0.425000000,0.201770841,1.845535135,75.273783486,8.676046535,-0.128253451
0.430000000,0.209111674,1.839981152,76.518927114,8.747509766,-0.216760884
0.435000000,0.216616868,1.834326431,77.807801884,8.820873079,-0.303316754
0.440000000,0.224287611,1.828572397,79.140848861,8.896114256,-0.387782967
0.445000000,0.232125063,1.822720582,80.518546623,8.973212726,-0.470029416
0.450000000,0.240130348,1.816772621,81.941408988,9.052149413,-0.549933869
0.455000000,0.248304559,1.810730256,83.409982109,9.132906553,-0.627381845
0.460000000,0.256648756,1.804595330,84.924840886,9.215467481,-0.702266476
0.465000000,0.265163962,1.798369791,86.486584698,9.299816380,-0.774488360
0.470000000,0.273851166,1.792055689,88.095832428,9.385938015,-0.843955418
0.475000000,0.282711321,1.785655173,89.753216766,9.473817434,-0.910582744
0.480000000,0.291745342,1.779170491,91.459377784,9.563439642,-0.974292459
0.485000000,0.300954106,1.772603992,93.214955767,9.654789266,-1.035013582
0.490000000,0.310338453,1.765958118,95.020583300,9.747850189,-1.092683463
0.495000000,0.319899183,1.759235405,96.876876671,9.842605177,-1.147253583
0.500000000,0.329637056,1.752438483,98.784426773,9.939035505,-1.198691449
0.505000000,0.339552794,1.745570072,100.743789658,10.037120586,-1.246979899
0.510000000,0.349647077,1.738632978,102.755476825,10.136837615,-1.292116338
0.515000000,0.359920544,1.731630094,104.819945331,10.238161228,-1.334111971
0.520000000,0.370373794,1.724564397,106.937587804,10.341063185,-1.372991018
0.525000000,0.381007385,1.717438941,109.108722442,10.445512072,-1.408789928
0.530000000,0.391821831,1.710256860,111.333583077,10.551473029,-1.441556577
0.535000000,0.402817608,1.703021362,113.612309387,10.658907514,-1.471349467
0.540000000,0.413995146,1.695735726,115.944937324,10.767773090,-1.498236909
0.545000000,0.425354836,1.688403300,118.331389851,10.878023251,-1.522296216
0.550000000,0.436897026,1.681027497,120.771468039,10.989607274,-1.543612884
0.555000000,0.448622019,1.673611793,123.264842620,11.102470113,-1.562279792
0.560000000,0.460530080,1.666159722,125.811046034,11.216552324,-1.578396398
0.565000000,0.472621428,1.658674873,128.409465061,11.331790020,-1.592067955
0.570000000,0.484896242,1.651160886,131.059334084,11.448114870,-1.603404749
0.575000000,0.497354656,1.643621452,133.759729040,11.565454122,-1.612521347
0.580000000,0.509996763,1.636060305,136.509562122,11.683730659,-1.619535886
0.585000000,0.522822612,1.628481221,139.307577267,11.802863096,-1.624569386
0.590000000,0.535832211,1.620888011,142.152346489,11.922765891,-1.627745100
0.595000000,0.549025524,1.613284523,145.042267093,12.043349496,-1.629187898
0.600000000,0.562402472,1.605674634,147.975559798,12.164520533,-1.629023704
0.605000000,0.575962933,1.598062246,150.950267815,12.286181987,-1.627378961
0.610000000,0.589706742,1.590451287,153.964256904,12.408233432,-1.624380159
0.615000000,0.603633692,1.582845700,157.015216422,12.530571273,-1.620153393
0.620000000,0.617743532,1.575249446,160.100661406,12.653089006,-1.614823981
0.625000000,0.632035965,1.567666497,163.217935672,12.775677503,-1.608516125
0.630000000,0.646510654,1.560100832,166.364215980,12.898225303,-1.601352619
0.635000000,0.661167216,1.552556435,169.536517232,13.020618927,-1.593454606
0.640000000,0.676005224,1.545037290,172.731698738,13.142743197,-1.584941374
0.645000000,0.691024207,1.537547378,175.946471528,13.264481578,-1.575930205
0.650000000,0.706223647,1.530090674,179.177406741,13.385716520,-1.566535810
0.655000000,0.721602983,1.522671143,182.420945402,13.506329827,-1.556867457
0.660000000,0.737161607,1.515292735,185.673409711,13.626203056,-1.547027256
0.665000000,0.752898866,1.507959385,188.931015143,13.745217901,-1.537110297
0.670000000,0.768814057,1.500675006,192.189883147,13.863256585,-1.527204892
0.675000000,0.784906432,1.493443489,195.446054379,13.980202230,-1.517392826
0.680000000,0.801175195,1.486268698,198.695502431,14.095939218,-1.507749625
0.685000000,0.817619500,1.479154466,201.934148025,14.210353550,-1.498344816
0.690000000,0.834238452,1.472104595,205.157873611,14.323333188,-1.489242196
0.695000000,0.851031104,1.465122850,208.362538338,14.434768385,-1.480500097
0.700000000,0.867996462,1.458212958,211.543993338,14.544552016,-1.472171647
0.705000000,0.885133477,1.451378605,214.698097285,14.652579885,-1.464305021
0.710000000,0.902441049,1.444623431,217.820732174,14.758751037,-1.456943688
0.715000000,0.919918025,1.437951033,220.907819265,14.862968050,-1.450126642
0.720000000,0.937563197,1.431364954,223.955335146,14.965137325,-1.443888625
0.725000000,0.955375303,1.424868689,226.959327865,15.065169361,-1.438260330
0.730000000,0.973353027,1.418465679,229.915933064,15.162979030,-1.433268599
0.735000000,0.991494995,1.412159306,232.821390070,15.258485838,-1.428936594
0.740000000,1.009799778,1.405952896,235.672057888,15.351614179,-1.425283955
