t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000015,1.999999984,95.895052709,9.792601938,0.278548139
0.010000000,0.000000229,1.999999755,95.479992267,9.771386405,0.531796565
0.015000000,0.000001139,1.999998783,94.824567625,9.737790695,0.763035435
0.020000000,0.000003528,1.999996229,93.958165544,9.693202027,0.974937823
0.025000000,0.000008442,1.999990970,92.909331509,9.638948672,1.169679163
0.030000000,0.000017159,1.999981637,91.705398836,9.576293585,1.349032673
0.035000000,0.000031160,1.999966638,90.372211164,9.506429990,1.514446269
0.040000000,0.000052107,1.999944183,88.933924959,9.430478512,1.667105187
0.045000000,0.000081819,1.999912316,87.412879980,9.349485546,1.807983471
0.050000000,0.000122249,1.999868930,85.829526894,9.264422642,1.937886730
0.055000000,0.000175464,1.999811793,84.202402403,9.176186703,2.057487971
0.060000000,0.000243631,1.999738566,82.548143290,9.085600877,2.167357841
0.065000000,0.000328993,1.999646821,80.881531829,8.993416027,2.267990263
0.070000000,0.000433862,1.999534060,79.215565881,8.900312684,2.359824215
0.075000000,0.000560598,1.999397727,77.561547891,8.806903422,2.443262134
0.080000000,0.000711602,1.999235222,75.929187740,8.713735579,2.518685351
0.085000000,0.000889299,1.999043917,74.326715153,8.621294285,2.586466790
0.090000000,0.001096136,1.998821166,72.760997974,8.530005743,2.646981127
0.095000000,0.001334564,1.998564311,71.237663249,8.440240710,2.700612554
0.100000000,0.001607039,1.998270699,69.761218546,8.352318154,2.747760248
0.105000000,0.001916010,1.997937681,68.335171433,8.266509023,2.788841677
0.110000000,0.002263915,1.997562627,66.962145456,8.183040111,2.824293832
0.115000000,0.002653177,1.997142927,65.643991327,8.102097958,2.854572554
0.120000000,0.003086198,1.996675999,64.381892338,8.023832771,2.880150069
0.125000000,0.003565359,1.996159290,63.176463332,7.948362305,2.901510946
0.130000000,0.004093017,1.995590283,62.027842765,7.875775693,2.919146637
0.135000000,0.004671503,1.994966501,60.935777609,7.806137176,2.933548848
0.140000000,0.005303120,1.994285502,59.899701018,7.739489713,2.945201925
0.145000000,0.005990145,1.993544891,58.918802791,7.675858440,2.954574513
0.150000000,0.006734829,1.992742312,57.992092789,7.615253954,2.962110693
0.155000000,0.007539397,1.991875454,57.118457529,7.557675405,2.968220825
0.160000000,0.008406048,1.990942049,56.296710230,7.503113369,2.973272289
0.165000000,0.009336959,1.989939875,55.525634625,7.451552498,2.977580336
0.170000000,0.010334284,1.988866752,54.804022855,7.402973920,2.981399193
0.175000000,0.011400160,1.987720543,54.130707777,7.357357391,2.984913609
0.180000000,0.012536706,1.986499152,53.504589990,7.314683178,2.988230954
0.185000000,0.013746024,1.985200528,52.924659859,7.274933667,2.991374029
0.190000000,0.015030206,1.983822658,52.390014759,7.238094691,2.994276217
0.195000000,0.016391332,1.982363569,51.899869300,7.204156391,2.996807698
0.200000000,0.017831474,1.980821328,51.453552931,7.173113197,2.998821956
0.205000000,0.019352699,1.979194041,51.050501556,7.144963370,3.000164418
0.210000000,0.020957068,1.977479849,50.690249119,7.119708500,3.000673957
0.215000000,0.022646642,1.975676935,50.372419538,7.097352995,3.000184521
0.220000000,0.024423482,1.973783515,50.096718951,7.077903570,2.998526851
0.225000000,0.026289648,1.971797844,49.862928254,7.061368724,2.995530310
0.230000000,0.028247207,1.969718212,49.670895889,7.047758217,2.991024763
0.235000000,0.030298227,1.967542946,49.520530865,7.037082554,2.984842515
0.240000000,0.032444785,1.965270409,49.411795980,7.029352458,2.976820258
0.245000000,0.034688965,1.962899000,49.344701224,7.024578366,2.966801010
0.250000000,0.037032859,1.960427154,49.319297332,7.022769919,2.954636009
0.255000000,0.039478572,1.957853341,49.335669479,7.023935469,2.940186532
0.260000000,0.042028216,1.955176071,49.393931075,7.028081607,2.923325603
0.265000000,0.044683919,1.952393886,49.494217663,7.035212695,2.903939556
0.270000000,0.047447819,1.949505367,49.636680889,7.045330431,2.881929431
0.275000000,0.050322070,1.946509131,49.821482522,7.058433433,2.857212165
0.280000000,0.053308838,1.943403834,50.048788529,7.074516841,2.829721556
0.285000000,0.056410307,1.940188169,50.318763166,7.093571961,2.799408989
0.290000000,0.059628673,1.936860865,50.631563092,7.115585928,2.766243900
0.295000000,0.062966149,1.933420692,50.987331480,7.140541400,2.730213966
0.300000000,0.066424965,1.929866459,51.386192126,7.168416291,2.691325042
0.305000000,0.070007363,1.926197013,51.828243541,7.199183533,2.649600814
0.310000000,0.073715604,1.922411243,52.313553016,7.232810865,2.605082217
0.315000000,0.077551963,1.918508078,52.842150665,7.269260668,2.557826599
0.320000000,0.081518730,1.914486488,53.414023428,7.308489819,2.507906681
0.325000000,0.085618210,1.910345485,54.029109045,7.350449581,2.455409318
0.330000000,0.089852722,1.906084125,54.687289981,7.395085529,2.400434103
0.335000000,0.094224599,1.901701505,55.388387332,7.442337491,2.343091838
0.340000000,0.098736184,1.897196769,56.132154675,7.492139526,2.283502912
0.345000000,0.103389835,1.892569104,56.918271905,7.544419918,2.221795610
0.350000000,0.108187918,1.887817742,57.746339040,7.599101199,2.158104393
0.355000000,0.113132808,1.882941962,58.615870003,7.656100182,2.092568178
0.360000000,0.118226890,1.877941089,59.526286405,7.715328017,2.025328637
0.365000000,0.123472554,1.872814499,60.476911327,7.776690255,1.956528562
0.370000000,0.128872194,1.867561611,61.466963121,7.840086933,1.886310289
0.375000000,0.134428208,1.862181897,62.495549244,7.905412655,1.814814252
0.380000000,0.140142994,1.856674878,63.561660711,7.972556724,1.742178845
0.385000000,0.146018951,1.851040124,64.664169834,8.041403474,1.668541803
0.390000000,0.152058471,1.845277257,65.801830975,8.111832775,1.594039161
0.395000000,0.158263945,1.839385953,66.973282196,8.183720559,1.518803631
0.400000000,0.164637751,1.833365936,68.177047561,8.256939358,1.442963190
0.405000000,0.171182261,1.827216987,69.411540106,8.331358839,1.366639912
0.410000000,0.177899831,1.820938940,70.675065502,8.406846347,1.289949014
0.415000000,0.184792801,1.814531681,71.965826423,8.483267438,1.212998119
0.420000000,0.191863494,1.807995154,73.281927638,8.560486414,1.135886718
0.425000000,0.199114209,1.801329357,74.621381823,8.638366849,1.058705818
0.430000000,0.206547223,1.794534344,75.982116113,8.716772115,0.981537761
0.435000000,0.214164782,1.787610227,77.361979375,8.795565893,0.904456186
0.440000000,0.221969105,1.780557173,78.758750211,8.874612680,0.827526133
0.445000000,0.229962374,1.773375409,80.170145668,8.953778290,0.750804257
0.450000000,0.238146737,1.766065220,81.593830642,9.032930346,0.674339152
0.455000000,0.246524300,1.758626947,83.027427965,9.111938760,0.598171746
0.460000000,0.255097127,1.751060993,84.468529124,9.190676206,0.522335779
0.465000000,0.263867236,1.743367820,85.914705602,9.269018589,0.446858337
0.470000000,0.272836596,1.735547950,87.363520792,9.346845500,0.371760427
0.475000000,0.282007122,1.727601963,88.812542441,9.424040664,0.297057603
0.480000000,0.291380676,1.719530503,90.259355576,9.500492386,0.222760608
0.485000000,0.300959062,1.711334273,91.701575860,9.576093977,0.148876050
0.490000000,0.310744022,1.703014039,93.136863320,9.650744185,0.075407094
0.495000000,0.320737234,1.694570626,94.562936373,9.724347607,0.002354164
0.500000000,0.330940310,1.686004923,95.977586103,9.796815100,-0.070284339
0.505000000,0.341354793,1.677317880,97.378690692,9.868064182,-0.142511308
0.510000000,0.351982153,1.668510510,98.764229953,9.938019418,-0.214330201
0.515000000,0.362823789,1.659583888,100.132299867,10.006612807,-0.285744295
0.520000000,0.373881020,1.650539152,101.481127057,10.073784148,-0.356755936
0.525000000,0.385155087,1.641377501,102.809083094,10.139481402,-0.427365785
0.530000000,0.396647152,1.632100199,104.114698579,10.203661038,-0.497572047
0.535000000,0.408358293,1.622708572,105.396676879,10.266288369,-0.567369699
0.540000000,0.420289503,1.613204007,106.653907453,10.327337869,-0.636749700
0.545000000,0.432441691,1.603587956,107.885478666,10.386793474,-0.705698202
0.550000000,0.444815675,1.593861933,109.090690004,10.444648869,-0.774195736
0.555000000,0.457412189,1.584027514,110.269063604,10.500907751,-0.842216406
0.560000000,0.470231873,1.574086338,111.420355007,10.555584068,-0.909727069
0.565000000,0.483275279,1.564040106,112.544562456,10.608702204,-0.976687648
0.570000000,0.496542866,1.553890581,113.641930046,10.660296902,-1.043054585
