t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000008,1.999999996,95.998597477,9.797887399,0.148135852
0.010000000,0.000000121,1.999999930,95.877191380,9.791689914,0.290008400
0.015000000,0.000000609,1.999999648,95.680167380,9.781623964,0.426122924
0.020000000,0.000001909,1.999998897,95.412111867,9.767912360,0.556930140
0.025000000,0.000004619,1.999997334,95.077761427,9.750782606,0.682830748
0.030000000,0.000009492,1.999994523,94.681957268,9.730465419,0.804179581
0.035000000,0.000017429,1.999989948,94.229604230,9.707193427,0.921289365
0.040000000,0.000029467,1.999983012,93.725634088,9.681200033,1.034434125
0.045000000,0.000046780,1.999973043,93.174972836,9.652718417,1.143852268
0.050000000,0.000070666,1.999959297,92.582511660,9.621980652,1.249749373
0.055000000,0.000102541,1.999940963,91.953081349,9.589216931,1.352300729
0.060000000,0.000143938,1.999917165,91.291429859,9.554654879,1.451653644
0.065000000,0.000196495,1.999886968,90.602202821,9.518518941,1.547929556
0.070000000,0.000261950,1.999849381,89.889926728,9.481029835,1.641225985
0.075000000,0.000342141,1.999803357,89.158994619,9.442404070,1.731618345
0.080000000,0.000438993,1.999747802,88.413654025,9.402853504,1.819161632
0.085000000,0.000554517,1.999681571,87.657997005,9.362584953,1.903892036
0.090000000,0.000690804,1.999603480,86.895952082,9.321799831,1.985828464
0.095000000,0.000850019,1.999512301,86.131277907,9.280693827,2.064974024
0.100000000,0.001034399,1.999406767,85.367558497,9.239456613,2.141317462
0.105000000,0.001246244,1.999285580,84.608199887,9.198271571,2.214834574
0.110000000,0.001487917,1.999147404,83.856428063,9.157315549,2.285489613
0.115000000,0.001761837,1.998990878,83.115288046,9.116758637,2.353236674
0.120000000,0.002070477,1.998814609,82.387643985,9.076763960,2.418021096
0.125000000,0.002416355,1.998617181,81.676180174,9.037487492,2.479780854
0.130000000,0.002802038,1.998397155,80.983402854,8.999077889,2.538447959
0.135000000,0.003230130,1.998153072,80.311642728,8.961676335,2.593949862
0.140000000,0.003703277,1.997883453,79.663058073,8.925416409,2.646210852
0.145000000,0.004224154,1.997586805,79.039638379,8.890423971,2.695153444
0.150000000,0.004795469,1.997261617,78.443208431,8.856817060,2.740699755
0.155000000,0.005419959,1.996906371,77.875432753,8.824705817,2.782772844
0.160000000,0.006100381,1.996519533,77.337820365,8.794192423,2.821298020
0.165000000,0.006839518,1.996099565,76.831729766,8.765371057,2.856204091
0.170000000,0.007640167,1.995644921,76.358374113,8.738327879,2.887424548
0.175000000,0.008505144,1.995154049,75.918826520,8.713141025,2.914898667
0.180000000,0.009437276,1.994625396,75.514025454,8.689880635,2.938572518
0.185000000,0.010439401,1.994057405,75.144780162,8.668608894,2.958399864
0.190000000,0.011514365,1.993448524,74.811776108,8.649380100,2.974342955
0.195000000,0.012665018,1.992797197,74.515580265,8.632240744,2.986373984
0.200000000,0.013894215,1.992101876,74.256645653,8.617229581,2.994477768
0.205000000,0.015204811,1.991361016,74.035315335,8.604377684,2.998652870
0.210000000,0.016599659,1.990573081,73.851826467,8.593708540,2.998911978
0.215000000,0.018081609,1.989736539,73.706314468,8.585238172,2.995282100
0.220000000,0.019653506,1.988849873,73.598817278,8.578975305,2.987804554
0.225000000,0.021318187,1.987911574,73.529279706,8.574921557,2.976534772
0.230000000,0.023078480,1.986920145,73.497557816,8.573071667,2.961541917
0.235000000,0.024937202,1.985874106,73.503423364,8.573413752,2.942908335
0.240000000,0.026897155,1.984771990,73.546568249,8.575929585,2.920728834
0.245000000,0.028961129,1.983612348,73.626608972,8.580594908,2.895109828
0.250000000,0.031131898,1.982393749,73.743091080,8.587379756,2.866168358
0.255000000,0.033412216,1.981114781,73.895493594,8.596248809,2.834031009
0.260000000,0.035804818,1.979774053,74.083233392,8.607161750,2.798832743
0.265000000,0.038312421,1.978370198,74.305669552,8.620073640,2.760715684
0.270000000,0.040937717,1.976901868,74.562107630,8.634935300,2.719827859
0.275000000,0.043683375,1.975367743,74.851803872,8.651693700,2.676321939
0.280000000,0.046552041,1.973766528,75.173969346,8.670292345,2.630353978
0.285000000,0.049546333,1.972096953,75.527773987,8.690671665,2.582082185
0.290000000,0.052668844,1.970357779,75.912350554,8.712769396,2.531665746
0.295000000,0.055922136,1.968547793,76.326798472,8.736520959,2.479263695
