t,x,z,tau_norm2,tau_norm,omega2
0.385000000,0.117713728,1.901969621,75.722177037,8.701849059,2.440365632
0.390000000,0.123145882,1.897887541,76.800800948,8.763606618,2.390507930
0.395000000,0.128748247,1.893698409,77.920136955,8.827238354,2.337938484
0.400000000,0.134523690,1.889401187,79.079222118,8.892649893,2.282678189
0.405000000,0.140475075,1.884994869,80.276909042,8.959738224,2.224768811
0.410000000,0.146605260,1.880478473,81.511862594,9.028392027,2.164270377
0.415000000,0.152917096,1.875851047,82.782558128,9.098492080,2.101258545
0.420000000,0.159413423,1.871111672,84.087281251,9.169911736,2.035822008
0.425000000,0.166097065,1.866259462,85.424129199,9.242517471,1.968059955
0.430000000,0.172970831,1.861293567,86.791013859,9.316169484,1.898079646
0.435000000,0.180037504,1.856213175,88.185666470,9.390722361,1.825994124
0.440000000,0.187299844,1.851017514,89.605644033,9.466025778,1.751920090
0.445000000,0.194760583,1.845705855,91.048337439,9.541925248,1.675975964
0.450000000,0.202422418,1.840277514,92.510981324,9.618262906,1.598280151
0.455000000,0.210288009,1.834731854,93.990665633,9.694878320,1.518949515
0.460000000,0.218359976,1.829068287,95.484348874,9.771609329,1.438098071
0.465000000,0.226640893,1.823286279,96.988873032,9.848292899,1.355835892
0.470000000,0.235133285,1.817385348,98.500980088,9.924765997,1.272268241
0.475000000,0.243839625,1.811365070,100.017330077,10.000866466,1.187494899
0.480000000,0.252762328,1.805225081,101.534520619,10.076433924,1.101609706
0.485000000,0.261903746,1.798965077,103.049107821,10.151310645,1.014700288
0.490000000,0.271266168,1.792584821,104.557628458,10.225342462,0.926847969
0.495000000,0.280851812,1.786084140,106.056623302,10.298379645,0.838127851
0.500000000,0.290662825,1.779462930,107.542661479,10.370277792,0.748609056
0.505000000,0.300701274,1.772721159,109.012365704,10.440898702,0.658355110
0.510000000,0.310969148,1.765858870,110.462438239,10.510111238,0.567424476
0.515000000,0.321468351,1.758876177,111.889687414,10.577792180,0.475871203
0.520000000,0.332200697,1.751773277,113.291054514,10.643827061,0.383745703
0.525000000,0.343167911,1.744550444,114.663640871,10.708110985,0.291095638
0.530000000,0.354371624,1.737208035,116.004734933,10.770549426,0.197966915
0.535000000,0.365813369,1.729746489,117.311839126,10.831059003,0.104404778
0.540000000,0.377494578,1.722166334,118.582696298,10.889568233,0.010455000
0.545000000,0.389416581,1.714468182,119.815315501,10.946018249,-0.083834831
0.550000000,0.401580603,1.706652738,121.007996928,11.000363491,-0.178413943
0.555000000,0.413987762,1.698720793,122.159355747,11.052572359,-0.273226922
0.560000000,0.426639064,1.690673235,123.268344623,11.102627825,-0.368212168
0.565000000,0.439535408,1.682511041,124.334274681,11.150528000,-0.463300400
0.570000000,0.452677577,1.674235286,125.356832947,11.196286570,-0.558416714
0.575000000,0.466066243,1.665847140,126.336089332,11.239932799,-0.653486356
0.580000000,0.479701961,1.657347868,127.272495359,11.281511218,-0.748434582
0.585000000,0.493585174,1.648738835,128.166880107,11.321081225,-0.843185028
0.590000000,0.507716207,1.640021501,129.020443976,11.358716652,-0.937658211
0.595000000,0.522095272,1.631197426,129.834750324,11.394505269,-1.031770158
0.600000000,0.536722463,1.622268271,130.611715074,11.428548249,-1.125431179
0.605000000,0.551597763,1.613235793,131.353594340,11.460959573,-1.218544778
0.610000000,0.566721037,1.604101849,132.062970186,11.491865392,-1.311006717
0.615000000,0.582092040,1.594868396,132.742734596,11.521403326,-1.402704239
0.620000000,0.597710413,1.585537491,133.396071773,11.549721718,-1.493515455
0.625000000,0.613575686,1.576111286,134.026438848,11.576978831,-1.583308916
0.630000000,0.629687282,1.566592036,134.637545133,11.603341981,-1.671943372
0.635000000,0.646044514,1.556982089,135.233330020,11.628986629,-1.759267737
0.640000000,0.662646588,1.547283894,135.817939636,11.654095402,-1.845121268
0.645000000,0.679492610,1.537499994,136.395702387,11.678857067,-1.929333972
0.650000000,0.696581578,1.527633026,136.971103494,11.703465448,-2.011727250
0.655000000,0.713912396,1.517685723,137.548758648,11.728118291,-2.092114783
0.660000000,0.731483867,1.507660910,138.133386901,11.753016077,-2.170303664
0.665000000,0.749294700,1.497561502,138.729782917,11.778360791,-2.246095779
0.670000000,0.767343511,1.487390506,139.342788687,11.804354649,-2.319289429
0.675000000,0.785628826,1.477151015,139.977264842,11.831198791,-2.389681180
0.680000000,0.804149085,1.466846208,140.638061662,11.859091941,-2.457067923
0.685000000,0.822902641,1.456479351,141.329989903,11.888229048,-2.521249126
0.690000000,0.841887768,1.446053789,142.057791553,11.918799921,-2.582029236
0.695000000,0.861102659,1.435572948,142.826110608,11.950987851,-2.639220209
0.700000000,0.880545432,1.425040331,143.639463994,11.984968252,-2.692644100
0.705000000,0.900214131,1.414459517,144.502212721,12.020907317,-2.742135687
0.710000000,0.920106733,1.403834158,145.418533369,12.058960708,-2.787545061
0.715000000,0.940221143,1.393167972,146.392389998,12.099272292,-2.828740130
0.720000000,0.960555206,1.382464749,147.427506582,12.141972928,-2.865608974
0.725000000,0.981106703,1.371728338,148.527340042,12.187179331,-2.898062007
0.730000000,1.001873358,1.360962651,149.695053966,12.234993010,-2.926033875
0.735000000,1.022852838,1.350171656,150.933493100,12.285499302,-2.949485057
0.740000000,1.044042760,1.339359375,152.245158681,12.338766498,-2.968403116
0.745000000,1.065440687,1.328529882,153.632184688,12.394845085,-2.982803581
0.750000000,1.087044139,1.317687294,155.096315086,12.453767104,-2.992730424
0.755000000,1.108850587,1.306835773,156.638882565,12.515545636,-2.998255969
0.760000000,1.130857463,1.295979518,158.260794232,12.580174650,-2.999479450
0.765000000,1.153062158,1.285122765,159.962528007,12.647629343,-2.996524993
0.770000000,1.175462025,1.274269777,161.744132834,12.717866678,-2.989539600
0.775000000,1.198054383,1.263424844,163.605230551,12.790826031,-2.978690899
0.780000000,1.220836517,1.252592279,165.545019404,12.866429940,-2.964164676
0.785000000,1.243805681,1.241776411,167.562279262,12.944584940,-2.946162276
0.790000000,1.266959101,1.230981580,169.655378542,13.025182476,-2.924897910
0.795000000,1.290293975,1.220212134,171.822282879,13.108099896,-2.900595944
0.800000000,1.313807475,1.209472427,174.060565551,13.193201490,-2.873488203
0.805000000,1.337496750,1.198766806,176.367419656,13.280339591,-2.843811354
0.810000000,1.361358929,1.188099617,178.739672058,13.369355708,-2.811804416
0.815000000,1.385391119,1.177475190,181.173799059,13.460081688,-2.777706408
0.820000000,1.409590408,1.166897842,183.665943803,13.552340898,-2.741754197
0.825000000,1.433953867,1.156371868,186.211935370,13.645949413,-2.704180536
0.830000000,1.458478552,1.145901538,188.807309517,13.740717213,-2.665212331
0.835000000,1.483161505,1.135491091,191.447331021,13.836449365,-2.625069130
0.840000000,1.507999754,1.125144732,194.127017569,13.932947196,-2.583961838
0.845000000,1.532990315,1.114866626,196.841165119,14.030009448,-2.542091658
0.850000000,1.558130196,1.104660896,199.584374671,14.127433407,-2.499649243
0.855000000,1.583416392,1.094531613,202.351080345,14.225016005,-2.456814055
0.860000000,1.608845893,1.084482800,205.135578693,14.322554894,-2.413753904
0.865000000,1.634415680,1.074518419,207.932059132,14.419849484,-2.370624664
0.870000000,1.660122730,1.064642374,210.734635399,14.516701946,-2.327570136
0.875000000,1.685964013,1.054858504,213.537377911,14.612918186,-2.284722040
0.880000000,1.711936496,1.045170578,216.334346913,14.708308771,-2.242200130
0.885000000,1.738037145,1.035582294,219.119626289,14.802689833,-2.200112394
0.890000000,1.764262921,1.026097275,221.887357908,14.895883925,-2.158555337
0.895000000,1.790610786,1.016719065,224.631776370,14.987720853,-2.117614321
0.900000000,1.817077703,1.007451124,227.347244016,15.078038467,-2.077363954
0.905000000,1.843660633,0.998296830,230.028286073,15.166683424,-2.037868504
0.910000000,1.870356540,0.989259473,232.669625786,15.253511916,-1.999182338
0.915000000,1.897162394,0.980342253,235.266219397,15.338390378,-1.961350364
0.920000000,1.924075164,0.971548278,237.813290847,15.421196155,-1.924408477
0.925000000,1.951091826,0.962880564,240.306366054,15.501818153,-1.888383984
0.930000000,1.978209362,0.954342028,242.741306642,15.580157465,-1.853296026
0.935000000,2.005424760,0.945935494,245.114342987,15.656127969,-1.819155970
0.940000000,2.032735014,0.937663687,247.422106382,15.729656906,-1.785967774
0.945000000,2.060137127,0.929529235,249.661655187,15.800685276,-1.753728368
0.950000000,2.087628113,0.921534664,251.830480735,15.869167613,-1.722428371
0.955000000,2.115204994,0.913682404,253.926500544,15.935071401,-1.692053026
0.960000000,2.142864803,0.905974786,255.948048918,15.998376446,-1.662583080
0.965000000,2.170604588,0.898414041,257.893865745,16.059074249,-1.633995577
0.970000000,2.198421406,0.891002307,259.763083629,16.117167357,-1.606264569
0.975000000,2.226312332,0.883741620,261.555213450,16.172668718,-1.579361761
0.980000000,2.254274452,0.876633925,263.270128503,16.225601021,-1.553257085
0.985000000,2.282304871,0.869681071,264.908047316,16.275996047,-1.527919226
0.990000000,2.310400710,0.862884816,266.469515292,16.323893999,-1.503316092
0.995000000,2.338559106,0.856246829,267.955385296,16.369342849,-1.479415242
1.000000000,2.366777218,0.849768687,269.366797304,16.412397671,-1.456184278
1.005000000,2.395052222,0.843451886,270.705157253,16.453119985,-1.433591197
1.010000000,2.423381314,0.837297834,271.972115200,16.491577099,-1.411604721
1.015000000,2.451761714,0.831307861,273.169542898,16.527841447,-1.390194595
1.020000000,2.480190660,0.825483215,274.299510925,16.561989945,-1.369331868
1.025000000,2.508665416,0.819825072,275.364265437,16.594103333,-1.348989154
1.030000000,2.537183267,0.814334531,276.366204666,16.624265538,-1.329140870
1.035000000,2.565741523,0.809012622,277.307855242,16.652563023,-1.309763472
1.040000000,2.594337520,0.803860308,278.191848431,16.679084160,-1.290835666
