t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000010,1.999999992,95.967292310,9.796289722,0.199658384
0.010000000,0.000000164,1.999999877,95.756522624,9.785526180,0.385603684
0.015000000,0.000000819,1.999999386,95.418867675,9.768258170,0.559210824
0.020000000,0.000002550,1.999998086,94.965564672,9.745027690,0.721667509
0.025000000,0.000006136,1.999995393,94.407765396,9.716365853,0.874000956
0.030000000,0.000012539,1.999990582,93.756415319,9.682789645,1.017100813
0.035000000,0.000022894,1.999982800,93.022154987,9.644799375,1.151738828
0.040000000,0.000038493,1.999971071,92.215241176,9.602876714,1.278585741
0.045000000,0.000060769,1.999954313,91.345485476,9.557483219,1.398225825
0.050000000,0.000091291,1.999931343,90.422208202,9.509059270,1.511169416
0.055000000,0.000131743,1.999900885,89.454205678,9.458023349,1.617863728
0.060000000,0.000183920,1.999861581,88.449729139,9.404771615,1.718702195
0.065000000,0.000249714,1.999811996,87.416473631,9.349677729,1.814032544
0.070000000,0.000331105,1.999750628,86.361575455,9.293092890,1.904163764
0.075000000,0.000430153,1.999675911,85.291616832,9.235346059,1.989372103
0.080000000,0.000548988,1.999586224,84.212636619,9.176744337,2.069906223
0.085000000,0.000689803,1.999479897,83.130145987,9.117573470,2.145991580
0.090000000,0.000854846,1.999355216,82.049148125,9.058098483,2.217834129
0.095000000,0.001046414,1.999210426,80.974161119,8.998564392,2.285623406
0.100000000,0.001266846,1.999043738,79.909243248,8.939197014,2.349535045
0.105000000,0.001518519,1.998853334,78.858020045,8.880203829,2.409732783
0.110000000,0.001803838,1.998637369,77.823712527,8.821774908,2.466369982
0.115000000,0.002125238,1.998393976,76.809166106,8.764083871,2.519590721
0.120000000,0.002485174,1.998121268,75.816879716,8.707288884,2.569530483
0.125000000,0.002886120,1.997817344,74.849034801,8.651533668,2.616316480
0.130000000,0.003330562,1.997480289,73.907523823,8.596948518,2.660067646
0.135000000,0.003821001,1.997108177,72.993978025,8.543651329,2.700894334
0.140000000,0.004359943,1.996699077,72.109794216,8.491748596,2.738897750
0.145000000,0.004949901,1.996251048,71.256160384,8.441336410,2.774169167
0.150000000,0.005593390,1.995762151,70.434079988,8.392501414,2.806788946
