t,x,z,tau_norm2,tau_norm,omega2
0.000000000,0.000000000,2.000000000,96.040000000,9.800000000,0.000000000
0.005000000,0.000000004,1.999999998,96.019197696,9.798938600,0.083490257
0.010000000,0.000000068,1.999999965,95.957606158,9.795795331,0.164438200
0.015000000,0.000000344,1.999999822,95.856527348,9.790634675,0.242978193
0.020000000,0.000001080,1.999999441,95.717358639,9.783524858,0.319234382
0.025000000,0.000002621,1.999998643,95.541581100,9.774537385,0.393321119
0.030000000,0.000005400,1.999997201,95.330748407,9.763746638,0.465343392
0.035000000,0.000009940,1.999994842,95.086476362,9.751229480,0.535397235
0.040000000,0.000016849,1.999991250,94.810432992,9.737064906,0.603570131
0.045000000,0.000026817,1.999986061,94.504329215,9.721333716,0.669941400
0.050000000,0.000040612,1.999978872,94.169910050,9.704118201,0.734582571
0.055000000,0.000059078,1.999969238,93.808946358,9.685501864,0.797557742
0.060000000,0.000083135,1.999956674,93.423227085,9.665569155,0.858923920
0.065000000,0.000113771,1.999940657,93.014552002,9.644405218,0.918731361
0.070000000,0.000152043,1.999920626,92.584724916,9.622095661,0.977023878
0.075000000,0.000199072,1.999895985,92.135547337,9.598726339,1.033839158
0.080000000,0.000256042,1.999866104,91.668812588,9.574383144,1.089209054
0.085000000,0.000324198,1.999830318,91.186300329,9.549151812,1.143159876
0.090000000,0.000404840,1.999787933,90.689771502,9.523117741,1.195712680
0.095000000,0.000499325,1.999738220,90.180963658,9.496365813,1.246883536
0.100000000,0.000609060,1.999680424,89.661586660,9.468980233,1.296683813
0.105000000,0.000735503,1.999613760,89.133318756,9.441044368,1.345120445
0.110000000,0.000880160,1.999537416,88.597802988,9.412640596,1.392196203
0.115000000,0.001044581,1.999450556,88.056643945,9.383850166,1.437909973
0.120000000,0.001230358,1.999352315,87.511404827,9.354753061,1.482257019
0.125000000,0.001439126,1.999241810,86.963604815,9.325427862,1.525229270
0.130000000,0.001672555,1.999118130,86.414716741,9.295951632,1.566815593
0.135000000,0.001932354,1.998980347,85.866165026,9.266399788,1.607002075
0.140000000,0.002220264,1.998827511,85.319323895,9.236845993,1.645772315
0.145000000,0.002538058,1.998658653,84.775515842,9.207362046,1.683107713
0.150000000,0.002887540,1.998472786,84.236010338,9.178017778,1.718987767
0.155000000,0.003270540,1.998268908,83.702022772,9.148880957,1.753390372
0.160000000,0.003688914,1.998045998,83.174713611,9.120017194,1.786292126
0.165000000,0.004144543,1.997803024,82.655187769,9.091489854,1.817668636
0.170000000,0.004639330,1.997538938,82.144494177,9.063359983,1.847494826
0.175000000,0.005175196,1.997252680,81.643625535,9.035686224,1.875745248
0.180000000,0.005754083,1.996943180,81.153518251,9.008524754,1.902394392
0.185000000,0.006377946,1.996609355,80.675052540,8.981929222,1.927416994
0.190000000,0.007048759,1.996250115,80.209052688,8.955950686,1.950788334
0.195000000,0.007768505,1.995864361,79.756287462,8.930637573,1.972484541
0.200000000,0.008539181,1.995450985,79.317470661,8.906035631,1.992482881
0.205000000,0.009362793,1.995008876,78.893261798,8.882187895,2.010762033
0.210000000,0.010241355,1.994536915,78.484266915,8.859134659,2.027302364
0.215000000,0.011176889,1.994033980,78.091039486,8.836913459,2.042086157
0.220000000,0.012171419,1.993498944,77.714081377,8.815559051,2.055097763
0.225000000,0.013226977,1.992930679,77.353843815,8.795103400,2.066323806
0.230000000,0.014345594,1.992328055,77.010728430,8.775575675,2.075753389
0.235000000,0.015529303,1.991689941,76.685088385,8.757002249,2.083378290
0.240000000,0.016780136,1.991015209,76.377229572,8.739406706,2.089193136
0.245000000,0.018100125,1.990302728,76.087411887,8.722809862,2.093195546
0.250000000,0.019491298,1.989551373,75.815850553,8.707229786,2.095386255
0.255000000,0.020955677,1.988760019,75.562717506,8.692681836,2.095769212
0.260000000,0.022495281,1.987927547,75.328142829,8.679178696,2.094351644
0.265000000,0.024112122,1.987052844,75.112216229,8.666730423,2.091144108
0.270000000,0.025808203,1.986134799,74.914988552,8.655344508,2.086160497
0.275000000,0.027585518,1.985172310,74.736473331,8.645025930,2.079418037
0.280000000,0.029446054,1.984164283,74.576648360,8.635777230,2.070937243
0.285000000,0.031391783,1.983109630,74.435457298,8.627598582,2.060741861
0.290000000,0.033424667,1.982007275,74.312811280,8.620487879,2.048858779
